,Country,Category,Plant type,Capital costs,O&M,Fuel (th),Fuel (el),Carbon,CHP heat revenues,LCOE,Unnamed: 10
0,,,,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh,USD/MWh
37,Mexico,Gas,Gas (CCGT) (503 MW),7.81,5.28,10.92,21.62,12.00,0.00,46.71,
38,Canada,Wind,Wind onshore (>= 1 MW) (200 MW),33.62,13.21,0.00,0.00,0.00,0.00,46.83,
39,Norway,Hydro,Run of river (< 5 MW) (3.0 MW),38.59,8.61,0.00,0.00,0.00,0.00,47.19,
40,India,Nuclear,LWR (950 MW),32.89,5.43,0.00,9.33,0.00,0.00,47.64,
41,United States of America,Solar,Solar PV (utility scale) (100 MW),41.90,5.79,0.00,0.00,0.00,0.00,47.69,
42,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),36.76,11.36,0.00,0.00,0.00,0.00,48.13,
43,Canada,Gas,Gas (CCGT) (471 MW),12.34,6.96,10.92,19.19,10.65,0.00,49.13,
44,India,Hydro,Hydro reservoir (>= 5 MW) (175 MW),37.69,11.65,0.00,0.00,0.00,0.00,49.34,
45,China,Solar,Solar PV (utility scale) (20.0 MW),42.76,8.02,0.00,0.00,0.00,0.00,50.78,
46,Brazil,Gas,Gas (CCGT) (980 MW),11.17,11.21,10.92,18.83,10.45,0.00,51.66,
47,Denmark,Wind,Wind offshore (11.3 MW),38.36,13.58,0.00,0.00,0.00,0.00,51.94,
48,Romania,CHP,"Gas (OCGT/int. comb., CHP) (195 MW)",3.65,11.75,27.30,33.88,7.52,-4.34,52.47,
49,Italy,Wind,Wind onshore (>= 1 MW) (10.0 MW),37.96,14.91,0.00,0.00,0.00,0.00,52.87,
50,"Korea, Republic of",Nuclear,ALWR (1377 MW),25.54,18.44,0.00,9.33,0.00,0.00,53.30,
51,Brazil,Bio,Biomass (25.0 MW),34.78,18.75,0.00,0.00,0.00,0.00,53.52,
52,Austria,Hydro,Run of river (< 5 MW) (2.2 MW),42.41,11.92,0.00,0.00,0.00,0.00,54.33,
53,United States of America,Solar,Solar PV (utility scale) (100 MW),48.28,6.68,0.00,0.00,0.00,0.00,54.96,
54,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),42.98,12.53,0.00,0.00,0.00,0.00,55.50,
55,France,Wind,Wind onshore (>= 1 MW) (50.0 MW),38.35,17.73,0.00,0.00,0.00,0.00,56.08,
56,Germany,Hydro,Run of river (>= 5 MW) (24.5 MW),48.50,8.50,0.00,0.00,0.00,0.00,57.00,
57,Belgium,Wind,Wind onshore (>= 1 MW) (30.0 MW),47.61,10.29,0.00,0.00,0.00,0.00,57.90,
58,Italy,Solar,Solar PV (utility scale) (0.83 MW),43.46,14.62,0.00,0.00,0.00,0.00,58.09,
59,China,Wind,Wind onshore (>= 1 MW) (50.0 MW),45.25,13.18,0.00,0.00,0.00,0.00,58.43,
60,United States of America,Wind,Wind offshore (600 MW),45.26,14.11,0.00,0.00,0.00,0.00,59.37,
61,Italy,Wind,Wind onshore (>= 1 MW) (20.0 MW),49.58,9.94,0.00,0.00,0.00,0.00,59.52,
62,Denmark,CHP,Ultra-supercritical (CHP) (700 MW),37.41,10.73,10.75,21.28,20.22,-29.69,59.95,
63,Slovakia,CHP,"Gas (OCGT/int. comb., CHP) (35.9 MW)",10.82,6.10,27.30,57.46,12.75,-26.13,61.01,
64,United States of America,Wind,Wind offshore (600 MW),46.57,14.62,0.00,0.00,0.00,0.00,61.19,
65,United States of America,Wind,Wind offshore (600 MW),40.91,20.44,0.00,0.00,0.00,0.00,61.35,
66,Italy,Hydro,Run of river (< 5 MW) (0.50 MW),48.40,13.01,0.00,0.00,0.00,0.00,61.41,
67,United States of America,Geothermal,Geothermal (30.0 MW),45.20,16.63,0.00,0.00,0.00,0.00,61.83,
68,Slovakia,CHP,"Gas (CCGT, CHP) (5.8 MW)",19.80,7.74,27.30,84.46,18.75,-68.77,61.97,
69,Canada,Solar,Solar PV (utility scale) (20.0 MW),55.85,6.62,0.00,0.00,0.00,0.00,62.47,
70,Italy,Solar,Solar PV (utility scale) (0.83 MW),35.36,27.59,0.00,0.00,0.00,0.00,62.96,
71,United States of America,Wind,Wind offshore (600 MW),42.11,21.43,0.00,0.00,0.00,0.00,63.53,
72,Belgium,Wind,Wind onshore (>= 1 MW) (30.0 MW),50.88,13.23,0.00,0.00,0.00,0.00,64.11,
73,United States of America,Wind,Wind offshore (600 MW),48.72,15.49,0.00,0.00,0.00,0.00,64.21,
74,United States of America,Wind,Wind offshore (median case) (600 MW),43.97,21.65,0.00,0.00,0.00,0.00,65.62,
75,China,Nuclear,Nuclear (950 MW),29.60,26.42,0.00,10.00,0.00,0.00,66.01,
76,Russian Federation,Wind,Wind onshore (>= 1 MW) (280 MW),53.85,13.50,0.00,0.00,0.00,0.00,67.35,
77,Italy,Hydro,Run of river (< 5 MW) (2.1 MW),58.95,8.42,0.00,0.00,0.00,0.00,67.38,
78,United States of America,Wind,Wind offshore (600 MW),46.12,21.95,0.00,0.00,0.00,0.00,68.07,
79,Italy,Geothermal,Geothermal (39.6 MW),50.17,17.96,0.00,0.00,0.00,0.00,68.13,
80,United States of America,Wind,Wind offshore (600 MW),51.19,16.99,0.00,0.00,0.00,0.00,68.18,
81,Belgium,Wind,Wind onshore (>= 1 MW) (5.0 MW),48.58,19.96,0.00,0.00,0.00,0.00,68.54,
82,Belgium,Gas,Gas (CCGT) (500 MW),11.77,4.80,27.30,42.65,9.47,0.00,68.69,
83,Italy,Gas,Gas (CCGT) (790 MW),6.88,6.99,27.30,45.50,10.10,0.00,69.47,
84,Italy,Hydro,Run of river (< 5 MW) (1.0 MW),60.79,8.71,0.00,0.00,0.00,0.00,69.49,
85,Denmark,CHP,"Gas (OCGT/int. comb., CHP) (125 MW)",14.35,10.77,27.30,67.65,15.02,-38.05,69.73,
86,United States of America,Gas,"Gas (CCGT, CCUS) (646 MW)",28.13,14.22,10.92,22.91,5.09,0.00,70.34,
87,India,Coal,Ultra-supercritical (pithead) (400 MW),12.87,8.53,11.89,26.43,22.70,0.00,70.54,
88,United States of America,Hydro,Run of river (>= 5 MW) (median case) (44.7 MW),62.25,8.33,0.00,0.00,0.00,0.00,70.58,
89,United States of America,Wind,Wind offshore (600 MW),47.70,22.92,0.00,0.00,0.00,0.00,70.63,
90,Italy,Solar,Solar PV (commercial) (0.21 MW),54.46,16.52,0.00,0.00,0.00,0.00,70.98,
91,Belgium,Gas,Gas (CCGT) (500 MW),8.95,6.00,27.30,45.88,10.18,0.00,71.00,
92,France,Nuclear,Gen III projects (1650 MW),47.51,14.26,0.00,9.33,0.00,0.00,71.10,
93,United States of America,Nuclear,LWR (1100 MW),50.32,11.60,0.00,9.33,0.00,0.00,71.25,
94,Italy,Wind,Wind onshore (< 1 MW) (0.90 MW),56.00,15.37,0.00,0.00,0.00,0.00,71.37,
95,Russian Federation,Wind,Wind onshore (>= 1 MW) (60.0 MW),58.47,13.82,0.00,0.00,0.00,0.00,72.29,
96,Italy,Hydro,Hydro reservoir (< 5 MW) (0.32 MW),55.94,16.85,0.00,0.00,0.00,0.00,72.79,
97,Denmark,CHP,"Gas (CCGT, CHP) (500 MW)",17.78,11.96,27.30,47.47,10.54,-14.82,72.92,
98,United States of America,Wind,Wind onshore (>= 1 MW) (100 MW),59.15,14.15,0.00,0.00,0.00,0.00,73.29,
99,France,Solar,Solar PV (commercial) (0.50 MW),49.67,24.31,0.00,0.00,0.00,0.00,73.98,
100,United States of America,Wind,Wind offshore (600 MW),54.91,19.18,0.00,0.00,0.00,0.00,74.09,
101,United States of America,Solar,Solar PV (commercial) (0.30 MW),68.64,5.83,0.00,0.00,0.00,0.00,74.46,
102,China,Coal,Ultra-supercritical (347 MW),8.97,14.97,12.61,28.02,22.70,0.00,74.67,
103,Italy,Wind,Wind onshore (< 1 MW) (0.80 MW),55.59,19.69,0.00,0.00,0.00,0.00,75.28,
104,Belgium,Gas,Gas (CCGT) (500 MW),11.36,6.67,27.30,47.06,10.45,0.00,75.54,
105,"Korea, Republic of",Coal,Ultra-supercritical (954 MW),12.90,11.62,11.89,27.47,23.60,0.00,75.59,
106,Italy,Bio,Biomass (0.45 MW),49.07,26.89,0.00,0.00,0.00,0.00,75.96,
107,Austria,Wind,Wind onshore (>= 1 MW) (3.0 MW),52.74,23.61,0.00,0.00,0.00,0.00,76.35,
108,Canada,Gas,Gas (OCGT/int. comb.) (243 MW),16.53,18.53,10.92,27.30,15.15,0.00,77.50,
109,Denmark,Solar,Solar PV (commercial) (0.10 MW),66.66,11.10,0.00,0.00,0.00,0.00,77.76,
110,Belgium,Wind,Wind onshore (>= 1 MW) (4.5 MW),60.63,17.71,0.00,0.00,0.00,0.00,78.33,
111,Brazil,Gas,Gas (OCGT/int. comb.) (980 MW),23.59,16.71,10.92,24.82,13.77,0.00,78.89,
112,Italy,Wind,Wind onshore (< 1 MW) (0.90 MW),63.40,15.61,0.00,0.00,0.00,0.00,79.01,
113,Netherlands,Solar,Solar PV (utility scale) (8.0 MW),59.81,20.16,0.00,0.00,0.00,0.00,79.97,
114,United States of America,Solar,Solar PV (commercial) (0.30 MW),74.28,6.31,0.00,0.00,0.00,0.00,80.59,
